name,position,average_appearances,average_clean_sheets,average_goals_conceded,average_tackles,average_tackle_success_percentage,average_last_man_tackles,average_blocked_shots,average_interceptions,average_clearances,average_headed_clearance,average_clearances_off_line,average_recoveries,average_duels_won,average_duels_lost,average_successful_50_50s,average_aerial_battles_won,average_aerial_battles_lost,average_own_goals,average_errors_leading_to_goal,average_assists,average_passes,average_passes_per_match,average_big_chances_created,average_crosses,average_cross_accuracy_percentage,average_through_balls,average_accurate_long_balls,average_yellow_cards,average_fouls,average_offsides,average_goals,average_headed_goals,average_goals_with_right_foot,average_goals_with_left_foot,average_hit_woodwork,average_goals_per_match,average_penalties_scored,average_freekicks_scored,average_shots_on_target,average_shooting_accuracy_percentage,average_big_chances_missed,average_saves,average_penalties_saved,average_punches,average_high_claims,average_catches,average_sweeper_clearances,average_throw_outs,average_goal_kicks
Jacob Blyth ,Forward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bojan ,Forward,27.0,0.0,0.0,18.0,0.0,0.0,7.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,728.0,26.96,2.0,32.0,0.0,0.0,0.0,2.0,9.0,3.0,7.0,1.0,4.0,2.0,0.0,0.26,2.0,0.0,15.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yannick Bolasie ,Forward,26.0,0.0,0.0,26.0,0.0,0.0,13.0,10.0,27.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,506.0,19.46,7.0,138.0,0.0,0.0,0.0,2.0,25.0,17.0,5.0,1.0,2.0,2.0,1.0,0.19,0.0,0.0,26.0,46.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilfried Bony ,Forward,26.0,0.0,0.0,9.0,0.0,0.0,20.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,408.0,15.69,3.0,1.0,0.0,0.0,0.0,1.0,17.0,7.0,4.0,2.0,0.0,2.0,1.0,0.15,0.0,0.0,17.0,28.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabio Borini ,Forward,26.0,0.0,0.0,24.0,0.0,0.0,8.0,22.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,550.0,21.15,3.0,29.0,0.0,0.0,0.0,6.0,31.0,2.0,5.0,0.0,4.0,1.0,0.0,0.19,1.0,0.0,18.0,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Campbell ,Forward,19.0,0.0,0.0,26.0,0.0,0.0,2.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,342.0,18.0,4.0,11.0,0.0,0.0,0.0,0.0,9.0,3.0,3.0,0.0,0.0,3.0,0.0,0.16,0.0,0.0,7.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergi Canós ,Forward,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marouane Chamakh ,Forward,10.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,9.3,0.0,1.0,0.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicharito ,Forward,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Papiss Demba Cissé ,Forward,21.0,0.0,0.0,10.0,0.0,0.0,2.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,19.29,0.0,8.0,0.0,0.0,0.0,1.0,13.0,19.0,3.0,2.0,0.0,0.0,0.0,0.14,0.0,0.0,9.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
