name,position,average_appearances,average_clean_sheets,average_goals_conceded,average_tackles,average_tackle_success_percentage,average_last_man_tackles,average_blocked_shots,average_interceptions,average_clearances,average_headed_clearance,average_clearances_off_line,average_recoveries,average_duels_won,average_duels_lost,average_successful_50_50s,average_aerial_battles_won,average_aerial_battles_lost,average_own_goals,average_errors_leading_to_goal,average_assists,average_passes,average_passes_per_match,average_big_chances_created,average_crosses,average_cross_accuracy_percentage,average_through_balls,average_accurate_long_balls,average_yellow_cards,average_fouls,average_offsides,average_goals,average_headed_goals,average_goals_with_right_foot,average_goals_with_left_foot,average_hit_woodwork,average_goals_per_match,average_penalties_scored,average_freekicks_scored,average_shots_on_target,average_shooting_accuracy_percentage,average_big_chances_missed,average_saves,average_penalties_saved,average_punches,average_high_claims,average_catches,average_sweeper_clearances,average_throw_outs,average_goal_kicks
Josh Wakefield ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor Wanyama ,Midfielder,30.0,0.0,0.0,94.0,76.0,0.0,7.0,68.0,62.0,25.0,0.0,250.0,209.0,189.0,23.0,64.0,68.0,0.0,1.0,1.0,1352.0,45.07,2.0,7.0,0.0,0.0,81.0,4.0,50.0,1.0,1.0,0.0,1.0,0.0,0.0,0.03,0.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Ward-Prowse ,Midfielder,33.0,0.0,0.0,14.0,79.0,0.0,9.0,22.0,37.0,22.0,0.0,89.0,37.0,78.0,6.0,10.0,18.0,0.0,0.0,4.0,699.0,21.18,6.0,93.0,27.0,3.0,28.0,5.0,21.0,1.0,2.0,0.0,2.0,0.0,1.0,0.06,1.0,1.0,7.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Watson ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James Weir ,Midfielder,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashley Westwood ,Midfielder,32.0,0.0,0.0,62.0,69.0,0.0,11.0,58.0,23.0,7.0,0.0,207.0,87.0,122.0,8.0,6.0,20.0,0.0,0.0,2.0,1512.0,47.25,4.0,94.0,36.0,1.0,115.0,6.0,30.0,0.0,2.0,0.0,2.0,0.0,0.0,0.06,0.0,0.0,9.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Glenn Whelan ,Midfielder,37.0,0.0,0.0,71.0,72.0,0.0,5.0,73.0,99.0,47.0,0.0,286.0,139.0,127.0,10.0,40.0,31.0,0.0,0.0,1.0,2070.0,55.95,1.0,25.0,20.0,2.0,105.0,6.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georginio Wijnaldum ,Midfielder,38.0,0.0,0.0,38.0,84.0,0.0,13.0,27.0,16.0,10.0,0.0,228.0,164.0,177.0,50.0,25.0,43.0,0.0,0.0,5.0,1252.0,32.95,5.0,34.0,24.0,3.0,38.0,1.0,16.0,5.0,11.0,4.0,7.0,0.0,0.0,0.29,1.0,0.0,29.0,54.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Wilshere ,Midfielder,3.0,0.0,0.0,3.0,67.0,0.0,0.0,2.0,3.0,1.0,0.0,12.0,15.0,10.0,6.0,2.0,2.0,0.0,0.0,0.0,83.0,27.67,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harry Winks ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claudio Yacob ,Midfielder,34.0,0.0,0.0,108.0,67.0,0.0,5.0,118.0,66.0,34.0,0.0,202.0,201.0,188.0,9.0,47.0,39.0,0.0,1.0,1.0,1092.0,32.12,1.0,8.0,25.0,0.0,63.0,8.0,62.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gedion Zelalem ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Zuculini ,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
