name,position,average_appearances,average_clean_sheets,average_goals_conceded,average_tackles,average_tackle_success_percentage,average_last_man_tackles,average_blocked_shots,average_interceptions,average_clearances,average_headed_clearance,average_clearances_off_line,average_recoveries,average_duels_won,average_duels_lost,average_successful_50_50s,average_aerial_battles_won,average_aerial_battles_lost,average_own_goals,average_errors_leading_to_goal,average_assists,average_passes,average_passes_per_match,average_big_chances_created,average_crosses,average_cross_accuracy_percentage,average_through_balls,average_accurate_long_balls,average_yellow_cards,average_fouls,average_offsides,average_goals,average_headed_goals,average_goals_with_right_foot,average_goals_with_left_foot,average_hit_woodwork,average_goals_per_match,average_penalties_scored,average_freekicks_scored,average_shots_on_target,average_shooting_accuracy_percentage,average_big_chances_missed,average_saves,average_penalties_saved,average_punches,average_high_claims,average_catches,average_sweeper_clearances,average_throw_outs,average_goal_kicks
Alex Pike ,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sébastien Pocognoli ,Defender,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,19.0,19.0,0.0,3.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regan Poole ,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian Prödl ,Defender,21.0,5.0,28.0,23.0,91.0,0.0,1.0,64.0,93.0,26.0,1.0,56.0,57.0,59.0,0.0,29.0,24.0,0.0,0.0,0.0,509.0,24.24,0.0,1.0,100.0,0.0,58.0,5.0,23.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Pudil ,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Randall ,Defender,3.0,0.0,3.0,3.0,67.0,0.0,1.0,3.0,0.0,0.0,0.0,8.0,6.0,12.0,0.0,2.0,3.0,0.0,0.0,0.0,82.0,27.33,0.0,1.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angel Rangel ,Defender,23.0,4.0,29.0,43.0,84.0,0.0,3.0,59.0,72.0,31.0,0.0,120.0,106.0,79.0,13.0,36.0,25.0,0.0,0.0,0.0,1278.0,55.57,0.0,47.0,23.0,0.0,65.0,6.0,19.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winston Reid ,Defender,24.0,6.0,38.0,45.0,82.0,0.0,4.0,76.0,154.0,76.0,0.0,109.0,123.0,66.0,2.0,50.0,28.0,1.0,0.0,1.0,833.0,34.71,0.0,2.0,0.0,0.0,90.0,5.0,23.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Micah Richards ,Defender,24.0,3.0,53.0,42.0,81.0,0.0,1.0,61.0,142.0,84.0,0.0,109.0,156.0,67.0,28.0,61.0,22.0,1.0,1.0,1.0,717.0,29.88,0.0,2.0,50.0,1.0,38.0,3.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kieran Richardson ,Defender,11.0,0.0,20.0,18.0,67.0,0.0,1.0,12.0,20.0,8.0,0.0,42.0,35.0,50.0,4.0,9.0,9.0,0.0,0.0,1.0,269.0,24.45,0.0,21.0,10.0,1.0,14.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Riley ,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonee Robinson ,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
